Project Name,Department, Project Cost , Project Benefit ,Complexity
Code Poltergeists,Warehouse," 3,201,907.00 "," 8,800,186.00 ",High
Great Leadership,Admin & BI," 5,609,775.00 "," 9,084,256.00 ",High
Charged By Codes,eCommerce," 5,044,306.00 "," 8,752,182.00 ",Low
Center For Creative Coding,eCommerce," 2,931,685.00 "," 8,971,678.00 ",Medium
The Principal Of Change,Sales and Marketing," 3,730,999.00 "," 8,715,081.00 ",Medium
Orange Leaders,Admin & BI," 4,502,248.00 "," 9,011,638.00 ",Medium
Associations Now,Sales and Marketing," 2,450,782.00 "," 8,470,209.00 ",Medium
Coding Region,Supply Chain," 3,718,103.00 "," 9,127,150.00 ",Low
"Linkage, Inc.",eCommerce," 5,913,478.00 "," 9,096,409.00 ",Medium
The Success,eCommerce," 2,631,019.00 "," 8,584,025.00 ",Low
Yoda,Admin & BI," 5,859,707.00 "," 8,697,391.00 ",Medium
Match Of Health,eCommerce," 4,172,827.00 "," 8,942,009.00 ",High
Yaeger,Supply Chain," 4,249,668.00 "," 8,548,973.00 ",Low
Fast & Creative Gang,Supply Chain," 3,156,318.00 "," 9,111,026.00 ",Medium
The Coding Expert,Warehouse," 3,978,102.00 "," 8,488,880.00 ",Medium
No-Bull Bootcamp,Admin & BI," 2,745,999.00 "," 8,567,877.00 ",Low
Search Engine Master,eCommerce," 3,787,473.00 "," 8,726,782.00 ",Medium
School Leadership 2.0,Supply Chain," 4,497,364.00 "," 9,022,111.00 ",High
The Experienced Dude,Warehouse," 5,570,834.00 "," 8,429,375.00 ",Low
Evening Shindig,Supply Chain," 3,472,531.00 "," 9,084,736.00 ",Low
The Morning Ceremony,Supply Chain," 4,802,423.00 "," 8,780,231.00 ",High
Mentee To Mentor,Admin & BI," 5,072,095.00 "," 8,665,889.00 ",Low
The Code Honors,Warehouse," 5,896,885.00 "," 8,539,690.00 ",Medium
Road-To-Success Workshop,Admin & BI," 4,646,988.00 "," 9,006,076.00 ",Medium
Code Change Group,Supply Chain," 5,412,530.00 "," 8,527,421.00 ",Medium
Yellow Moose,Warehouse," 5,543,765.00 "," 8,769,988.00 ",Medium
Moving Bird,Supply Chain," 4,505,069.00 "," 8,478,594.00 ",High
Ceremony Worthy Of Time,Warehouse," 4,013,283.00 "," 8,830,540.00 ",Low
Leadership Minds,Supply Chain," 3,107,456.00 "," 9,040,473.00 ",Low
The Art Of Codes,Sales and Marketing," 5,643,858.00 "," 8,573,039.00 ",High
The Coding Awards,Supply Chain," 4,612,925.00 "," 8,910,680.00 ",High
Coding League,Admin & BI," 5,949,337.00 "," 9,012,834.00 ",Medium
Only Project Experience,Warehouse," 2,511,189.00 "," 8,776,602.00 ",High
Meetup For The Good,Sales and Marketing," 2,745,287.00 "," 8,957,341.00 ",High
White Feather,Warehouse," 2,578,748.00 "," 9,069,084.00 ",Low
Open Source Pundits,Supply Chain," 2,806,512.00 "," 9,016,356.00 ",Low
Next Gala,Warehouse," 3,261,249.00 "," 8,696,481.00 ",High
Project Explained,Admin & BI," 5,156,291.00 "," 8,519,274.00 ",High
Commission Kings,eCommerce," 3,014,053.00 "," 8,904,627.00 ",Low
Celestial Interface,eCommerce," 4,569,504.00 "," 8,678,737.00 ",Low
Stratos,Sales and Marketing," 2,429,395.00 "," 8,913,514.00 ",Low
Red Butter,eCommerce," 4,603,061.00 "," 8,654,153.00 ",Medium
Smart Brief Leadership,eCommerce," 4,505,046.00 "," 9,026,066.00 ",High
A Night To Celebrate,Warehouse," 2,706,279.00 "," 8,547,124.00 ",Medium
Fast Ball,Supply Chain," 4,426,475.00 "," 8,515,880.00 ",High
The Network,Supply Chain," 5,418,933.00 "," 8,846,243.00 ",Medium
Practice To Perfect,Warehouse," 3,242,647.00 "," 8,531,617.00 ",Low
Soul Spartans,eCommerce," 2,418,301.00 "," 9,138,940.00 ",High
15 Five,Warehouse," 4,258,440.00 "," 8,577,445.00 ",Medium
Wide Stringer,Admin & BI," 4,009,744.00 "," 8,725,076.00 ",High
Indie Profilers,Supply Chain," 5,461,756.00 "," 8,804,458.00 ",Low
Leadership Insights,Sales and Marketing," 3,526,630.00 "," 9,146,561.00 ",Medium
Gob Geeklords,Sales and Marketing," 5,732,006.00 "," 9,081,480.00 ",High
Java Dalia,Sales and Marketing," 2,781,408.00 "," 9,073,188.00 ",Low
Skill Up,Warehouse," 3,678,091.00 "," 8,985,903.00 ",Medium
Excel And Elevate Training,Supply Chain," 4,434,679.00 "," 9,097,786.00 ",High
Wombat,Admin & BI," 3,652,611.00 "," 9,115,922.00 ",Low
The Social Experiment,Supply Chain," 2,906,572.00 "," 8,599,058.00 ",High
Box Of Crayons,eCommerce," 4,286,305.00 "," 8,685,423.00 ",High
The Domain Of Work,Supply Chain," 5,150,366.00 "," 8,877,742.00 ",Low
Impact Training,Supply Chain," 5,620,822.00 "," 8,757,403.00 ",High
An Evening Affair,Sales and Marketing," 3,685,580.00 "," 8,890,269.00 ",Low
Social Geek Made,eCommerce," 2,681,420.00 "," 9,089,277.00 ",Medium
Sirius,Warehouse," 4,805,056.00 "," 8,895,516.00 ",High
Fast Coding,Warehouse," 2,693,471.00 "," 9,103,716.00 ",Low
Super Happy Fun Time!,Sales and Marketing," 5,880,610.00 "," 8,626,940.00 ",High
Software Chasers,Supply Chain," 3,932,724.00 "," 9,006,043.00 ",High
The Discovery Of Era,Admin & BI," 4,908,311.00 "," 9,069,817.00 ",Medium
Strive Training,Supply Chain," 5,259,436.00 "," 8,817,917.00 ",Medium
Debug Entity,Warehouse," 4,790,417.00 "," 8,872,443.00 ",Medium
Made By Me,Supply Chain," 4,283,481.00 "," 8,895,152.00 ",Low
Revolution,eCommerce," 4,606,575.00 "," 8,658,343.00 ",High
7Th Annual Workshop,Sales and Marketing," 5,054,482.00 "," 8,422,578.00 ",High
