Project Name,Project Type, Project Cost , Project Benefit ,Complexity
Wide Stringer,PROCESS IMPROVEMENT," 4,009,744.00 "," 8,725,076.00 ",High
Indie Profilers,WORKING CAPITAL IMPROVEMENT," 5,461,756.00 "," 8,804,458.00 ",Low
Leadership Insights,WORKING CAPITAL IMPROVEMENT," 3,526,630.00 "," 9,146,561.00 ",Medium
Gob Geeklords,PROCESS IMPROVEMENT," 5,732,006.00 "," 9,081,480.00 ",High
Java Dalia,PROCESS IMPROVEMENT," 2,781,408.00 "," 9,073,188.00 ",Low
Skill Up,INCOME GENERATION," 3,678,091.00 "," 8,985,903.00 ",Medium
Excel And Elevate Training,PROCESS IMPROVEMENT," 4,434,679.00 "," 9,097,786.00 ",High
Wombat,INCOME GENERATION," 3,652,611.00 "," 9,115,922.00 ",Low
The Social Experiment,WORKING CAPITAL IMPROVEMENT," 2,906,572.00 "," 8,599,058.00 ",High
Box Of Crayons,PROCESS IMPROVEMENT," 4,286,305.00 "," 8,685,423.00 ",High
The Domain Of Work,COST REDUCTION," 5,150,366.00 "," 8,877,742.00 ",Low
Impact Training,COST REDUCTION," 5,620,822.00 "," 8,757,403.00 ",High
An Evening Affair,PROCESS IMPROVEMENT," 3,685,580.00 "," 8,890,269.00 ",Low
Social Geek Made,COST REDUCTION," 2,681,420.00 "," 9,089,277.00 ",Medium
Sirius,COST REDUCTION," 4,805,056.00 "," 8,895,516.00 ",High
Fast Coding,COST REDUCTION," 2,693,471.00 "," 9,103,716.00 ",Low
Super Happy Fun Time!,WORKING CAPITAL IMPROVEMENT," 5,880,610.00 "," 8,626,940.00 ",High
Software Chasers,PROCESS IMPROVEMENT," 3,932,724.00 "," 9,006,043.00 ",High
The Discovery Of Era,COST REDUCTION," 4,908,311.00 "," 9,069,817.00 ",Medium
Strive Training,WORKING CAPITAL IMPROVEMENT," 5,259,436.00 "," 8,817,917.00 ",Medium
Debug Entity,INCOME GENERATION," 4,790,417.00 "," 8,872,443.00 ",Medium
Made By Me,PROCESS IMPROVEMENT," 4,283,481.00 "," 8,895,152.00 ",Low
Revolution,COST REDUCTION," 4,606,575.00 "," 8,658,343.00 ",High
7Th Annual Workshop,WORKING CAPITAL IMPROVEMENT," 5,054,482.00 "," 8,422,578.00 ",High
